notebook,condition,top_k,count,token_f1,exact_match,context_precision,context_recall,faithfulness,answer_relevancy,token_f1_ir_only,diagnostic_note,kaggle_link
03b-true-oracle-stress-test.ipynb,true_oracle,,20.000000,0.400695,0.050000,1.000000,1.000000,0.368906,0.509220,,"True oracle upper bound; uses Qasper evidence_texts plus gold_texts directly, bypassing retrieval and chunk matching.",
03c-true-oracle-prompt-ablation.ipynb,true_oracle_direct,,20.000000,0.455704,0.100000,1.000000,1.000000,0.504865,0.696724,,True oracle direct-answer prompt; prompt-utilization baseline with perfect context.,
03c-true-oracle-prompt-ablation.ipynb,true_oracle_extract_then_answer,,20.000000,0.510129,0.350000,1.000000,1.000000,0.537702,0.730190,,True oracle extract-then-answer prompt; tests whether evidence-first prompting improves context utilization.,
03d-true-oracle-retrieval-only-ceiling.ipynb,true_oracle_gold_answer_ceiling,,20.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,"Retrieval-free gold answer ceiling without generator; establishes the maximum possible metric score under current gold answer normalization.",
03d-true-oracle-retrieval-only-ceiling.ipynb,true_oracle_evidence_plus_answer_ir_only,,20.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,"Oracle contexts include gold answer text and lexical extraction recovers the answer without generator; confirms the ceiling comes from answer leakage, not model utilization.",
03d-true-oracle-retrieval-only-ceiling.ipynb,true_oracle_evidence_first_context,,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,"Evidence-only retrieval without generator returned empty evidence contexts in this run, so it is not a useful ceiling until evidence_text extraction is fixed.",
03d-true-oracle-retrieval-only-ceiling.ipynb,true_oracle_evidence_ir_only,,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,"Perfect-evidence lexical extraction without generator scored zero because evidence-only contexts were empty in this executed notebook.",
05b-dense-hybrid-topk-ablation.ipynb,dense_rag_top10,,20.000000,0.290491,0.050000,0.235000,0.615000,0.859544,0.595983,,Focused dense top-k ablation; highest recall setting from file 01 and best generated Token F1 in file 05b.,
05b-dense-hybrid-topk-ablation.ipynb,hybrid_rag_top3,,20.000000,0.136538,0.000000,0.333333,0.416667,0.724102,0.453282,,Focused hybrid RRF top-k ablation; highest precision setting from file 01.,
05d-hybrid-rerank-reorder-ablation.ipynb,dense_rag_top10,,20.000000,0.290491,0.050000,0.235000,0.615000,0.859544,0.595983,,Current best dense retrieval+generation baseline repeated inside the rerank/reorder ablation.,
05d-hybrid-rerank-reorder-ablation.ipynb,hybrid_rerank_reorder_top10,,20.000000,0.267983,0.000000,0.225000,0.614444,0.875770,0.617913,,Cross-encoder reranked hybrid contexts with U-shape reorder to reduce lost-in-the-middle; final top-k 10.,
05d-hybrid-rerank-reorder-ablation.ipynb,hybrid_rerank_reorder_top5,,20.000000,0.218096,0.000000,0.250000,0.461667,0.768199,0.523166,,Cross-encoder reranked hybrid contexts with U-shape reorder to reduce lost-in-the-middle; final top-k 5.,
05d-hybrid-rerank-reorder-ablation.ipynb,hybrid_rerank_reorder_top8,,20.000000,0.204366,0.000000,0.237500,0.528333,0.799080,0.554891,,Cross-encoder reranked hybrid contexts with U-shape reorder to reduce lost-in-the-middle; final top-k 8.,
05d-hybrid-rerank-reorder-ablation.ipynb,hybrid_rerank_top10,,20.000000,0.171736,0.000000,0.225000,0.614444,0.833850,0.476352,,Hybrid RRF candidate pool reranked by cross-encoder; final top-k 10.,
05d-hybrid-rerank-reorder-ablation.ipynb,hybrid_rerank_top5,,20.000000,0.204293,0.000000,0.250000,0.461667,0.811559,0.494290,,Hybrid RRF candidate pool reranked by cross-encoder; final top-k 5.,
05d-hybrid-rerank-reorder-ablation.ipynb,hybrid_rerank_top8,,20.000000,0.145865,0.000000,0.237500,0.528333,0.830036,0.503861,,Hybrid RRF candidate pool reranked by cross-encoder; final top-k 8.,
05d-hybrid-rerank-reorder-ablation.ipynb,hybrid_rrf_top10,,20.000000,0.243928,0.050000,0.215000,0.495000,0.839176,0.579628,,Hybrid BM25+dense RRF without cross-encoder reranking; tests fusion alone at top-k 10.,
05e-dense-top10-prompt-ablation.ipynb,dense_rag_top10_direct,,20.000000,0.249600,0.000000,0.235000,0.615000,0.812660,0.655761,,Dense top-k 10 retrieved context with direct-answer prompt; realistic prompt baseline.,
05e-dense-top10-prompt-ablation.ipynb,dense_rag_top10_extract_then_answer,,20.000000,0.158478,0.000000,0.235000,0.615000,0.822884,0.467777,,Dense top-k 10 retrieved context with extract-then-answer prompting; tests whether oracle prompt gains transfer to realistic retrieval.,
05f-hybrid-rerank-reorder-prompt-ablation.ipynb,hybrid_rerank_reorder_top10_direct,,20.000000,0.283791,0.000000,0.225000,0.614444,0.819186,0.683810,,Hybrid RRF + cross-encoder rerank + U-shape reorder with direct-answer prompt.,
05f-hybrid-rerank-reorder-prompt-ablation.ipynb,hybrid_rerank_reorder_top10_extract_then_answer,,20.000000,0.129101,0.000000,0.225000,0.614444,0.813895,0.433148,,Hybrid RRF + cross-encoder rerank + U-shape reorder with extract-then-answer prompting.,
07b-qwen05-reflection-classifier-lora-train.ipynb,base_reflection_classifier_overall,,45.000000,0.104167,0.111111,,,,,,"Reflection-only classifier before LoRA; token_f1 column stores macro-F1 and exact_match stores reflection-label accuracy.",
07b-qwen05-reflection-classifier-lora-train.ipynb,lora_reflection_classifier_overall,,45.000000,0.396420,0.444444,,,,,,"Reflection-only LoRA classifier after training; token_f1 column stores macro-F1 and exact_match stores reflection-label accuracy.",
07b-qwen05-reflection-classifier-lora-train.ipynb,lora_reflection_true_oracle,,15.000000,,0.866667,,,,,,"Reflection classifier source-condition accuracy after LoRA; true-oracle labels are mostly learned.",
07b-qwen05-reflection-classifier-lora-train.ipynb,lora_reflection_dense_rag_top10,,15.000000,,0.400000,,,,,,"Reflection classifier source-condition accuracy after LoRA; dense retrieved context remains ambiguous/noisy.",
07b-qwen05-reflection-classifier-lora-train.ipynb,lora_reflection_clean_random_distractor,,15.000000,,0.066667,,,,,,"Reflection classifier source-condition accuracy after LoRA; distractor rejection is still failing, so not ready as a self-gating filter.",
08-cache-memory-rag-pilot.ipynb,dense_rag_top10,10.000000,50.000000,0.211115,0.000000,0.200000,0.513952,0.771618,0.528605,,"Same-run dense top-k 10 direct baseline for Cache Memory RAG pilot; strongest Token F1 in the 50-example file 08 run.",
08-cache-memory-rag-pilot.ipynb,hybrid_rerank_reorder_top10_direct,10.000000,50.000000,0.193295,0.000000,0.196000,0.546730,0.763546,0.504833,,"Same-run hybrid rerank plus reorder direct baseline for Cache Memory RAG pilot; best context recall among top-10 direct baselines in file 08.",
08-cache-memory-rag-pilot.ipynb,cache_memory_rag,10.000000,50.000000,0.066740,0.000000,0.020000,0.020000,0.179320,0.311251,,"Cache Memory v1; final generation used condensed memory only and failed because compression destroyed evidence.",
08-cache-memory-rag-pilot.ipynb,cache_memory_rag_v2,10.000000,50.000000,0.154913,0.000000,0.225000,0.295714,0.800626,0.460952,,"Evidence-guarded Cache Memory v2; improved over v1 but still dropped final context recall below raw dense retrieval because final answer saw only memory plus a few snippets.",
08-cache-memory-rag-pilot.ipynb,cache_memory_rag_v3_top10,10.000000,50.000000,0.172610,0.000000,0.209091,0.513952,0.793435,0.471132,,"Memory-guided v3 with top-k 10; final answer sees memory guide plus all retrieved top-10 chunks, preserving dense recall but still below dense direct Token F1.",
08-cache-memory-rag-pilot.ipynb,cache_memory_rag_v3_top30,30.000000,50.000000,0.166149,0.000000,0.151924,0.697778,0.812472,0.455816,,"Memory-guided v3 with top-k 30; substantially increases context recall but lower precision/noisier context reduces Token F1 versus top-10 direct baselines.",
09-evidence-selected-rag.ipynb,evidence_selected_rag_top10,10.000000,50.000000,0.214900,0.020000,0.108333,0.384238,0.675596,0.525371,,"Deterministic evidence sentence selection from dense top-10 pool; slightly beats same-run dense direct Token F1, but selected evidence recall drops below raw dense retrieval.",
09-evidence-selected-rag.ipynb,dense_rag_top10,10.000000,50.000000,0.211115,0.000000,0.200000,0.513952,0.771618,0.528605,,"Same-run dense top-k 10 direct baseline for Evidence-Selected RAG pilot.",
09-evidence-selected-rag.ipynb,evidence_selected_rag_top30_pool,30.000000,50.000000,0.197643,0.000000,0.106667,0.364825,0.733245,0.506411,,"Deterministic evidence sentence selection from dense top-30 pool; raw retrieval recall rises but selected evidence recall and Token F1 fall, suggesting selector noise/omission from the wider pool.",
09-evidence-selected-rag.ipynb,hybrid_rerank_reorder_top10_direct,10.000000,50.000000,0.193295,0.000000,0.196000,0.546730,0.763546,0.504833,,"Same-run hybrid rerank plus reorder direct baseline for Evidence-Selected RAG pilot.",
10-agentic-evidence-rag.ipynb,evidence_selected_rag_top10,10.000000,50.000000,0.214900,0.020000,0.108333,0.384238,0.675596,0.525371,,"Same-run evidence-selected top-10 baseline repeated in Agentic Evidence RAG pilot; remains the strongest row in notebook 10.",
10-agentic-evidence-rag.ipynb,dense_rag_top10,10.000000,50.000000,0.211115,0.000000,0.200000,0.513952,0.771618,0.528605,,"Same-run dense top-k 10 direct baseline for Agentic Evidence RAG pilot.",
10-agentic-evidence-rag.ipynb,hybrid_rerank_reorder_top10_direct,10.000000,50.000000,0.193295,0.000000,0.196000,0.546730,0.763546,0.504833,,"Same-run hybrid rerank plus reorder direct baseline for Agentic Evidence RAG pilot.",
10-agentic-evidence-rag.ipynb,agentic_evidence_rag_v0_top30_pool,30.000000,50.000000,0.102632,0.000000,0.098750,0.410206,0.468290,0.240884,,"Agentic Evidence RAG v0 with top-30 candidate pool; agent pool recall rises to 0.700000 but final evidence prompt greatly reduces answer quality.",
10-agentic-evidence-rag.ipynb,agentic_evidence_rag_v0,10.000000,50.000000,0.092073,0.000000,0.098750,0.426571,0.470770,0.231699,,"Agentic Evidence RAG v0 with top-10 pool; no fallback was used and verified evidence prompt caused a large Token F1 drop versus dense/evidence-selected baselines.",
11-agentic-gate-routing-rag.ipynb,evidence_selected_rag_top10,10.000000,50.000000,0.214900,0.020000,0.108333,0.384238,0.675596,0.525371,,"Same-run evidence-selected top-10 baseline repeated in Agentic Gate Routing RAG v1; remains the strongest row in notebook 11.",
11-agentic-gate-routing-rag.ipynb,dense_rag_top10,10.000000,50.000000,0.211115,0.000000,0.200000,0.513952,0.771618,0.528605,,"Same-run dense top-k 10 direct baseline for Agentic Gate Routing RAG v1.",
11-agentic-gate-routing-rag.ipynb,hybrid_rerank_reorder_top10_direct,10.000000,50.000000,0.193295,0.000000,0.196000,0.546730,0.763546,0.504833,,"Same-run hybrid rerank plus reorder direct baseline for Agentic Gate Routing RAG v1.",
11-agentic-gate-routing-rag.ipynb,agentic_gate_routing_rag_v1,10.000000,50.000000,0.140922,0.000000,0.200000,0.513952,0.656468,0.429205,,"Agentic Gate Routing v1 main route; gate passed all 50 examples and used dense-with-evidence-hints every time, reducing Token F1 versus dense direct.",
11-agentic-gate-routing-rag.ipynb,agentic_gate_v1_dense_with_hints_strong_gate,10.000000,50.000000,0.140922,0.000000,0.200000,0.513952,0.656468,0.429205,,"Strong-gate diagnostic branch for dense context with selected evidence hints; identical to main v1 because the gate passed all examples.",
11-agentic-gate-routing-rag.ipynb,agentic_evidence_rag_v0,10.000000,50.000000,0.092073,0.000000,0.098750,0.426571,0.470770,0.231699,,"Same-run Agentic Evidence RAG v0 baseline repeated in notebook 11.",
11-agentic-gate-routing-rag.ipynb,agentic_gate_v1_evidence_only_strong_gate,10.000000,50.000000,0.092073,0.000000,0.098750,0.426571,0.470770,0.231699,,"Strong-gate evidence-only diagnostic branch; matches v0 behavior and confirms selected-evidence-only answering remains weak.",
13a-true-oracle-evidence-only-direct.ipynb,true_oracle_evidence_only_direct,20.000000,50.000000,0.165920,0.020000,0.960000,0.847286,0.397532,0.334259,,"True-oracle generator run using gold evidence only as context and gold answers only for scoring; evidence parser extracted evidence for 48/50 examples, avg evidence contexts 2.36, avg evidence words 203.22, gold-answer overlap in evidence contexts 0.82.",
13b-true-oracle-evidence-only-extract-then-answer.ipynb,true_oracle_evidence_only_extract_then_answer,20.000000,50.000000,0.203587,0.040000,0.960000,0.847286,0.575290,0.413685,,"Gold-evidence-only oracle context with extract-then-answer prompt; improves over direct but remains far below answer-leak true oracle 03c, evidence extraction 48/50 examples, avg contexts 2.36, gold-answer overlap in evidence contexts 0.82.",
13c-true-oracle-evidence-only-answer-only-short.ipynb,true_oracle_evidence_only_answer_only_short,20.000000,50.000000,0.254155,0.100000,0.960000,0.847286,0.518987,0.447672,,"Gold-evidence-only oracle context with shortest-answer prompt; best simple evidence-only prompt among 13a-13c, showing brevity helps Qwen answer formatting without injecting gold answer text.",
13d-true-oracle-evidence-only-question-type-router.ipynb,true_oracle_evidence_only_question_type_router,20.000000,50.000000,0.312332,0.060000,0.960000,0.847286,0.545622,0.568199,,"Gold-evidence-only oracle context with heuristic question-type routing; strongest notebook 13 result, but still below 03c answer-leak oracle extract-then-answer, so generator utilization remains the bottleneck even with near-perfect evidence context.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk80_top3_router,3.000000,50.000000,0.279496,0.140000,0.213333,0.290381,0.703533,0.517236,,"Dense e5-small-v2 retrieval with question-type router; chunk size 80 overlap 20. Smallest context setting has best exact match in notebook 14 but low evidence recall.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk80_top5_router,5.000000,50.000000,0.284065,0.100000,0.204000,0.395048,0.741384,0.545708,,"Dense e5-small-v2 retrieval with question-type router; chunk size 80 overlap 20. Best chunk-80 Token F1 with compact context but recall remains below larger chunks.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk80_top8_router,8.000000,50.000000,0.268123,0.100000,0.200000,0.493952,0.736572,0.536732,,"Dense e5-small-v2 retrieval with question-type router; chunk size 80 overlap 20. More chunks improve recall but add enough noise to reduce Token F1.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk80_top10_router,10.000000,50.000000,0.269803,0.100000,0.190000,0.513952,0.735526,0.530744,,"Dense e5-small-v2 retrieval with question-type router; chunk size 80 overlap 20. Top-k 10 matches larger recall but lower precision and no Token F1 gain.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk120_top3_router,3.000000,50.000000,0.262197,0.100000,0.213333,0.330381,0.692018,0.483557,,"Dense e5-small-v2 retrieval with question-type router; chunk size 120 overlap 25. Top-k 3 is too restrictive for multi-evidence Qasper questions.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk120_top5_router,5.000000,50.000000,0.258938,0.080000,0.208000,0.413095,0.738930,0.476876,,"Dense e5-small-v2 retrieval with question-type router; chunk size 120 overlap 25. More recall than top-k 3 but generator gains remain weak.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk120_top8_router,8.000000,50.000000,0.270594,0.080000,0.207500,0.506429,0.742119,0.507490,,"Dense e5-small-v2 retrieval with question-type router; chunk size 120 overlap 25. High recall but still below the chunk-160 top-8 balance.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk120_top10_router,10.000000,50.000000,0.289402,0.100000,0.190000,0.513952,0.755294,0.545488,,"Dense e5-small-v2 retrieval with question-type router; chunk size 120 overlap 25. Best chunk-120 setting and second-best notebook 14 Token F1.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk160_top3_router,3.000000,50.000000,0.243230,0.080000,0.206667,0.320381,0.702381,0.473340,,"Dense e5-small-v2 retrieval with question-type router; chunk size 160 overlap 30. Top-k 3 under-supplies evidence and gives the weakest router result in this ablation.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk160_top5_router,5.000000,50.000000,0.273995,0.080000,0.216000,0.415381,0.740370,0.533912,,"Dense e5-small-v2 retrieval with question-type router; chunk size 160 overlap 30. Better balance than top-k 3 but still below top-k 8.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk160_top8_router,8.000000,50.000000,0.300611,0.100000,,0.493095,0.751505,0.540052,,"Dense e5-small-v2 retrieval with question-type router; chunk size 160 overlap 30. Best notebook 14 condition, suggesting top-k 8 is the best recall/noise balance before reranking.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk160_top10_router,10.000000,50.000000,0.275609,0.120000,0.200000,0.513952,0.772298,0.516608,,"Dense e5-small-v2 retrieval with question-type router; chunk size 160 overlap 30. Recall rises versus top-k 8 but Token F1 drops, indicating added context noise hurts generation.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk240_top3_router,3.000000,50.000000,0.273139,0.100000,0.226667,0.330381,0.688044,0.491807,,"Dense e5-small-v2 retrieval with question-type router; chunk size 240 overlap 30. Larger chunks help compact top-k 3 more than chunk 160 but recall remains limited.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk240_top5_router,5.000000,50.000000,0.260900,0.080000,0.224000,0.410381,0.739489,0.491864,,"Dense e5-small-v2 retrieval with question-type router; chunk size 240 overlap 30. Wider chunks add context but do not improve answer quality.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk240_top8_router,8.000000,50.000000,0.287949,0.100000,0.205000,0.473095,0.759779,0.511669,,"Dense e5-small-v2 retrieval with question-type router; chunk size 240 overlap 30. Best chunk-240 setting, close to chunk-120 top-10 but below chunk-160 top-8.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk240_top10_router,10.000000,50.000000,0.283485,0.100000,0.202000,0.523952,0.775212,0.512771,,"Dense e5-small-v2 retrieval with question-type router; chunk size 240 overlap 30. Highest recall in notebook 14 but not highest Token F1, again showing recall alone is not enough.",
14-dense-chunk-topk-router-ablation.ipynb,dense_chunk160_top10_direct_baseline,10.000000,50.000000,0.220569,0.020000,0.200000,0.513952,0.779329,0.538086,,"Same-run dense chunk-160 top-10 direct prompt baseline; router variants substantially improve answer formatting and Token F1, especially on yes/no questions.",
15-retrieve-router-wide-ablation.ipynb,dense_pool20_cross_top8_router,8.000000,50.000000,0.313624,0.120000,0.217500,0.509286,0.779247,0.585566,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=20.0, final_top_k=8.0, context_order=cross_encoder_score, reranker=cross-encoder/ms-marco-MiniLM-L-6-v2, prompt_variant=question_type_router, avg context words=686.92.",
15-retrieve-router-wide-ablation.ipynb,dense_chunk160_top8_router,8.000000,50.000000,0.300611,0.100000,0.202500,0.493095,0.751505,0.540052,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=question_type_router, avg context words=673.34.",
15-retrieve-router-wide-ablation.ipynb,dense_pool30_cross_top10_router,10.000000,50.000000,0.294083,0.120000,0.202000,0.550063,0.747932,0.535637,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=30.0, final_top_k=10.0, context_order=cross_encoder_score, reranker=cross-encoder/ms-marco-MiniLM-L-6-v2, prompt_variant=question_type_router, avg context words=869.56.",
15-retrieve-router-wide-ablation.ipynb,dense_pool30_top8_router,8.000000,50.000000,0.288523,0.100000,0.197500,0.473095,0.757498,0.522954,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=30.0, final_top_k=8.0, context_order=dense_lexical_score, reranker=dense_lexical_bonus, prompt_variant=question_type_router, avg context words=684.62.",
15-retrieve-router-wide-ablation.ipynb,dense_pool20_top8_router,8.000000,50.000000,0.286006,0.100000,0.197500,0.473095,0.747576,0.548475,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=20.0, final_top_k=8.0, context_order=dense_lexical_score, reranker=dense_lexical_bonus, prompt_variant=question_type_router, avg context words=684.58.",
15-retrieve-router-wide-ablation.ipynb,dense_pool50_cross_top8_router,8.000000,50.000000,0.280689,0.100000,0.207500,0.500952,0.795769,0.563117,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=50.0, final_top_k=8.0, context_order=cross_encoder_score, reranker=cross-encoder/ms-marco-MiniLM-L-6-v2, prompt_variant=question_type_router, avg context words=675.46.",
15-retrieve-router-wide-ablation.ipynb,hybrid_rrf_pool50_cross_top8_router,8.000000,50.000000,0.280689,0.100000,0.207500,0.500952,0.795769,0.563117,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=50.0, final_top_k=8.0, context_order=cross_encoder_score, reranker=cross-encoder/ms-marco-MiniLM-L-6-v2, prompt_variant=question_type_router, avg context words=673.34.",
15-retrieve-router-wide-ablation.ipynb,dense_pool30_cross_top8_router,8.000000,50.000000,0.275238,0.100000,0.212500,0.512063,0.788626,0.578247,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=30.0, final_top_k=8.0, context_order=cross_encoder_score, reranker=cross-encoder/ms-marco-MiniLM-L-6-v2, prompt_variant=question_type_router, avg context words=681.64.",
15-retrieve-router-wide-ablation.ipynb,dense_pool30_cross_top5_router,5.000000,50.000000,0.270394,0.100000,0.212000,0.438952,0.753823,0.548874,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=30.0, final_top_k=5.0, context_order=cross_encoder_score, reranker=cross-encoder/ms-marco-MiniLM-L-6-v2, prompt_variant=question_type_router, avg context words=417.28.",
15-retrieve-router-wide-ablation.ipynb,dense_pool50_top8_router,8.000000,50.000000,0.263855,0.100000,0.200000,0.483095,0.748930,0.488034,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=50.0, final_top_k=8.0, context_order=dense_lexical_score, reranker=dense_lexical_bonus, prompt_variant=question_type_router, avg context words=689.32.",
15-retrieve-router-wide-ablation.ipynb,dense_top6_neighbor1_top8_router,8.000000,50.000000,0.253745,0.100000,0.162500,0.417571,0.766526,0.556713,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=6.0, final_top_k=8.0, context_order=dense_with_neighbor1, reranker=none, prompt_variant=question_type_router, avg context words=608.66.",
15-retrieve-router-wide-ablation.ipynb,dense_pool20_cross_neighbor1_top8_router,8.000000,50.000000,0.232028,0.100000,0.155000,0.401905,0.791780,0.535111,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=20.0, final_top_k=8.0, context_order=cross_top5_with_neighbor1, reranker=cross-encoder/ms-marco-MiniLM-L-6-v2, prompt_variant=question_type_router, avg context words=616.78.",
15-retrieve-router-wide-ablation.ipynb,dense_pool30_mmr_lam03_top8_router,8.000000,50.000000,0.229065,0.080000,0.170000,0.361429,0.710797,0.466438,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=30.0, final_top_k=8.0, context_order=mmr, reranker=mmr_lambda_0.30, prompt_variant=question_type_router, avg context words=804.60.",
15-retrieve-router-wide-ablation.ipynb,hybrid_rrf_pool30_top8_router,8.000000,50.000000,0.214767,0.060000,0.180000,0.413714,0.762928,0.445736,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=30.0, final_top_k=8.0, context_order=rrf_score, reranker=none, prompt_variant=question_type_router, avg context words=713.16.",
15-retrieve-router-wide-ablation.ipynb,hybrid_rrf_pool50_top8_router,8.000000,50.000000,0.214767,0.060000,0.180000,0.413714,0.762928,0.445736,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=50.0, final_top_k=8.0, context_order=rrf_score, reranker=none, prompt_variant=question_type_router, avg context words=713.16.",
15-retrieve-router-wide-ablation.ipynb,dense_pool30_mmr_lam05_top8_router,8.000000,50.000000,0.175577,0.060000,0.180000,0.371095,0.768689,0.476988,,"Wide balanced batch from dense_chunk160_top8_router; family=retrieve, candidate_pool_k=30.0, final_top_k=8.0, context_order=mmr, reranker=mmr_lambda_0.50, prompt_variant=question_type_router, avg context words=836.26.",
